iata_code,name,municipality,iso_country,iso_region,type,latitude_deg,longitude_deg
DEE,Yuzhno-Kurilsk Mendeleyevo Airport,Yuzhno-Kurilsk,RU,RU-SAK,small_airport,43.961066,145.684977
DEF,Dezful Airport,Dezful,IR,IR-06,medium_airport,32.434399,48.397598
DEL,Indira Gandhi International Airport,New Delhi,IN,IN-DL,large_airport,28.55563,77.09519
DEM,Dembidollo Airport,Dembidollo,ET,ET-OR,small_airport,8.554,34.858002
DEN,Denver International Airport,Denver,US,US-CO,large_airport,39.860027,-104.673792
DEX,Nop Goliat Dekai Airport,Dekai,ID,ID-PP,small_airport,-4.8557,139.482006
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,US-TX,large_airport,32.896801,-97.038002
DGA,Dangriga Airport,Dangriga,BZ,BZ-SC,medium_airport,16.98251,-88.230988
DGH,Deoghar Airport,Deoghar,IN,IN-JH,small_airport,24.446842,86.704955
DGO,General Guadalupe Victoria International Airport,Durango,MX,MX-DUR,medium_airport,24.125468,-104.527938
DGT,Sibulan Airport,Dumaguete City,PH,PH-NER,medium_airport,9.334183,123.30191
DHM,Kangra Airport,Kangra,IN,IN-HP,medium_airport,32.164902,76.263018
DHN,Dothan Regional Airport,Dothan,US,US-AL,medium_airport,31.321300506591797,-85.44960021972656
DHX,Dhoho International Airport,Kediri,ID,ID-JI,medium_airport,-7.749527,111.946831
DIA,Doha International Airport,Doha,QA,QA-DA,large_airport,25.259431,51.565528
DIB,Dibrugarh Airport,Dibrugarh,IN,IN-AS,medium_airport,27.4839000702,95.0168991089
DIE,Arrachart Airport,Antisiranana,MG,MG-D,medium_airport,-12.3494,49.291698
DIG,Diqing Shangri-La Airport,Diqing (Shangri-La),CN,CN-53,medium_airport,27.7936,99.6772
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,US,US-ND,medium_airport,46.797533,-102.801905
DIL,Presidente Nicolau Lobato International Airport,Dili,TL,TL-DI,large_airport,-8.546562,125.524507
DIN,Dien Bien Phu Airport,Dien Bien Phu,VN,VN-NW,medium_airport,21.3974990845,103.008003235
